breed_name,species,alt_names,origin_country,height,weight,life_span,personality_traits,description,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,hypoallergenic,wikipedia_url,senior_friendly,urban_friendly,family_compatibility_score,social_environment_score,child_friendly_norm,stranger_friendly_norm,dog_friendly_norm,energy_level_norm,vocalisation_norm,affection_level_norm,intelligence_norm,adaptability_norm,senior_friendly_norm,urban_friendly_norm,senior_friendly_label,urban_friendly_label,family_compatibility_label,social_environment_label,breed_cluster,recommendation,recommendation_confidence,multi_cluster_membership,persona_match,persona_explainability_text,heat_tolerance,cold_tolerance,humidity_tolerance,all_weather_adaptability,recommended_climate_types,dietary_sensitivity_level,common_food_allergies,digestion_robustness,obesity_prone,recommended_diet_type,climate_data_source,diet_data_source,guardian_note,Avg monthly_food_cost_inr,Avg exercise_minutes_daily,Avg grooming_hours_monthly,Avg social_interaction_hours_daily,Avg total_daily_time_hours,Avg professional_grooming_cost_monthly,Avg vet_cost_monthly_avg,Avg total_monthly_cost_inr
Afador,Dog,Afghan Lab,United States,56-66 cm,25-32 kg,10-12 years,"Loyal, Energetic, Intelligent, Active, Friendly","A cross between Afghan Hound and Labrador Retriever, combining elegance with friendliness.",2.4,4,2,3,4,2,3,5,4,3,1,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.6,2.4,46,51.2,0.25,0,0.5,0.75,0.75,0.75,1,0.35,0.351351351,0.153846154,Moderate,Moderate,Moderate,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,Designer/mixed breed - traits can vary based on parent breeds. High-energy breed requires 1-2 hours daily exercise. Not suitable for sedentary lifestyles or small apartments without adequate outdoor access. Not recommended for families with young children. Requires supervision and socialization. Breed prone to health issues - regular veterinary check-ups and health screening recommended. Consider pet insurance.,6700,75,10,4.5,6.5,2300,1200,11200
Affenhuahua,Dog,,United States,15-23 cm,2-5 kg,12-16 years,"Playful, Affectionate, Alert, Confident","A designer breed crossing Affenpinscher and Chihuahua, known for bold personality.",3,4,3,2,4,4,4,3,2,3,2,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.6,2.2,57,47,0.5,0.25,0.25,0.75,0.75,0.75,0.5,0.5,0.351351351,0.076923077,Moderate,Moderate,Moderate,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. ?? Very small breed: Extremely fragile - can be seriously injured by falls, rough play, or being stepped on. Not suitable for families with children under 10. Requires careful handling. Prone to dental issues. Can be difficult to housebreak.",800,75,3,4.5,6.5,200,800,2000
Affenpinscher,Dog,Monkey Dog,Germany,23-30 cm,3-4 kg,12-14 years,"Confident, Fearless, Stubborn, Active, Adventurous",A toy terrier breed with monkey-like facial features and a fearless personality.,3.2,5,1,4,4,3,4,4,1,3.33,3,2,1,https://en.wikipedia.org/wiki/Affenpinscher,3.5,3.3,52,71.6,0,0.5,0.75,0.75,0.25,1,0.75,0.55,0.594594595,0.5,Good,Good,Moderate,Good,Active / Outdoor Dog,Great for active owners,80,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? Very small breed: Extremely fragile - can be seriously injured by falls, rough play, or being stepped on. Not suitable for families with children under 10. Requires careful handling. Prone to dental issues. Can be difficult to housebreak.",800,75,4,6,8,600,800,2400
Afghan Hound,Dog,Tazi,Afghanistan,61-74 cm,20-27 kg,12-14 years,"Aloof, Clownish, Dignified, Independent, Happy","An elegant sighthound with a silky coat, bred for hunting in Afghan mountains.",4,5,5,4,5,1,3,4,4,4.67,2,2,1,https://en.wikipedia.org/wiki/Afghan_Hound,3.1,2.8,72,68,1,0.25,0.75,1,0.25,1,0.75,0.75,0.486486486,0.307692308,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners; Good as a guard or alert dog,90,"Family Dog, Guard / Watch Dog, Active / Outdoor Dog",Active outdoor enthusiast; Security-conscious owner,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities. Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.",3,3,3,60,Temperate,3,"Corn, wheat, soy, grains",3,Low,"High-protein, Easily digestible",archetype,archetype,Needs large open space; not ideal for small flats.,5600,120,14.5,6,9,5400,1200,13400
Airedale Terrier,Dog,King of Terriers,United Kingdom,56-61 cm,20-27 kg,10-13 years,"Outgoing, Friendly, Alert, Confident, Courageous","The largest terrier breed, originally bred for hunting otters and rats.",2.2,4,4,4,5,2,3,5,2,4,3,4,1,https://en.wikipedia.org/wiki/Airedale_Terrier,2.2,2.8,64,66.6,0.75,0.5,0.75,1,0.75,0.75,1,0.3,0.243243243,0.307692308,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,100,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,Needs large open space; not ideal for small flats.,5600,120,7.5,4.5,7,2100,1200,9800
Akbash,Dog,Akbash Dog,Turkey,71-86 cm,41-64 kg,10-12 years,"Loyal, Independent, Brave, Alert, Calm",A Turkish livestock guardian dog with a white coat and protective instincts.,2.8,5,4,3,2,3,4,4,4,4,2,3,0,https://en.wikipedia.org/wiki/Akbash,4,3.2,77,57.4,0.75,0.25,0.5,0.25,0.5,1,0.75,0.45,0.72972973,0.461538462,Good,Good,Good,Moderate,Family Dog,Ideal for seniors or calm households; Good as a guard or alert dog,80,"Family Dog, Guard / Watch Dog",Senior or retired owner; Security-conscious owner,"Lower energy needs, gentle behavior, and manageable vocalisation suit quieter households and senior owners. Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.",3,3,3,60,Temperate,3,"Soy, corn",3,Medium,"Large-breed formula, Joint support, Controlled growth",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",12400,30,6,6,7,1300,800,16000
Akita,Dog,Akita Inu,Japan,61-71 cm,32-59 kg,10-13 years,"Dignified, Courageous, Loyal, Alert, Responsive","A large Japanese breed known for dignity, courage, and extreme loyalty.",3,5,3,1,4,1,4,3,5,2.33,2,5,0,https://en.wikipedia.org/wiki/Akita_(dog),2.6,2,48,40,0,0.25,0,0.75,1,1,0.5,0.5,0.351351351,0,Moderate,Poor,Moderate,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Working breeds generally robust),3,Medium,"High-protein, Large-breed formula",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? Guardian/protective breed: Requires experienced owner, early socialization, and consistent training. Can be territorial and protective of family. Liability insurance recommended. Not suitable for first-time dog owners.",10800,75,16.5,4.5,7,7600,800,21100
Akita Chow,Dog,,United States,56-66 cm,36-59 kg,10-12 years,"Loyal, Independent, Protective, Alert",A mixed breed combining Akita and Chow Chow characteristics.,2.8,1,2,1,4,1,2,4,4,1,2,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.3,3,28,52.4,0,0.25,0,0.75,0.25,0,0.75,0.45,0.27027027,0.384615385,Moderate,Moderate,Poor,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Working breeds generally robust),3,Medium,"High-protein, Large-breed formula",archetype,archetype,"?? Guardian/protective breed: Requires experienced owner, early socialization, and consistent training. Can be territorial and protective of family. Liability insurance recommended. Not suitable for first-time dog owners.",11200,75,14.5,2,4,7800,2000,23100
Akita Pit,Dog,,United States,51-61 cm,14-32 kg,10-12 years,"Loyal, Protective, Energetic, Confident",A powerful hybrid of Akita and American Pit Bull Terrier.,2.6,4,3,3,3,4,4,4,3,3.33,2,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.3,3,61,56.8,0.5,0.25,0.5,0.5,0.5,0.75,0.75,0.4,0.540540541,0.384615385,Good,Moderate,Good,Moderate,Balanced / General Companion,Good as a guard or alert dog,80,Guard / Watch Dog,Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Working breeds generally robust),3,Medium,"High-protein, Large-breed formula",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. ?? Guardian/protective breed: Requires experienced owner, early socialization, and consistent training. Can be territorial and protective of family. Liability insurance recommended. Not suitable for first-time dog owners.",5400,45,3,4.5,6,200,800,7000
Akita Shepherd,Dog,,United States,61-66 cm,34-54 kg,10-13 years,"Loyal, Intelligent, Protective, Alert, Courageous","A cross between Akita and German Shepherd, combining protective traits.",3,4,3,3,3,3,3,4,4,3.33,3,1,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.9,3.8,65,70,0.5,0.5,0.5,0.5,0,0.75,0.75,0.5,0.702702703,0.692307692,Good,Good,Good,Good,Balanced / General Companion,Best for general companionship,70,City / Apartment Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,"?? Guardian/protective breed: Requires experienced owner, early socialization, and consistent training. Can be territorial and protective of family. Liability insurance recommended. Not suitable for first-time dog owners.",10400,45,6,4.5,6,1200,1200,14100
Alaskan Klee Kai,Dog,Miniature Husky,United States,33-43 cm,4-7 kg,12-16 years,"Intelligent, Energetic, Alert, Loyal, Curious",A spitz-type companion breed resembling a miniature Husky.,3.2,4,3,2,4,4,4,4,4,3,2,3,0,https://en.wikipedia.org/wiki/Alaskan_Klee_Kai,2.9,2.8,57,54.6,0.5,0.25,0.25,0.75,0.5,0.75,0.75,0.55,0.432432432,0.307692308,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",1300,75,3.5,4.5,6.5,200,800,2500
Alaskan Malamute,Dog,Mal,United States,58-64 cm,34-45 kg,10-14 years,"Affectionate, Friendly, Loyal, Playful, Dignified",An Arctic sled dog bred for hauling heavy freight with strength and endurance.,2.4,4,3,2,5,1,4,4,5,3,5,5,0,https://en.wikipedia.org/wiki/Alaskan_Malamute,1.9,3,65,64.2,0.5,1,0.25,1,1,0.75,0.75,0.35,0.162162162,0.384615385,Poor,Moderate,Good,Good,Balanced / General Companion,Great for active owners,100,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,1,Minimal (Generally robust),3,Medium,"High-protein, High-fat",archetype,archetype,Needs large open space; not ideal for small flats.,9300,120,16.5,4.5,7.5,7000,800,18800
American Bulldog,Dog,,United States,56-69 cm,27-54 kg,10-16 years,"Friendly, Assertive, Energetic, Loyal, Confident","A muscular breed descended from Old English Bulldog, used for farm work.",1.8,5,4,2,4,4,3,3,1,3.67,2,2,0,https://en.wikipedia.org/wiki/American_Bulldog,3.5,2.8,69,49.4,0.75,0.25,0.25,0.75,0.25,1,0.5,0.2,0.594594595,0.307692308,Good,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,5,"Chicken, beef, dairy, wheat, soy",3,High,"Limited ingredient, Hypoallergenic, Small kibble",archetype,archetype,"?? Brachycephalic (flat-faced) breed: Prone to breathing difficulties, heat sensitivity, snoring, dental issues. Cannot tolerate hot weather or strenuous exercise. Requires special care during hot months. Daily facial cleaning needed. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",9600,75,2.5,6,8,200,1200,12100
American English Coonhound,Dog,English Coonhound,United States,58-69 cm,18-30 kg,11-12 years,"Energetic, Intelligent, Loyal, Active, Sweet-Tempered","A coonhound bred for hunting, known for speed and melodious voice.",2.8,5,5,4,5,5,4,4,3,4.67,5,5,0,https://en.wikipedia.org/wiki/American_English_Coonhound,2.2,3,84,73.4,1,1,0.75,1,1,1,0.75,0.45,0.243243243,0.384615385,Moderate,Moderate,Excellent,Good,Family Dog,Best for families with children; Great for active owners,92,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Hounds generally robust),3,High,"Balanced, Portion control",archetype,archetype,Needs large open space; not ideal for small flats.,5700,120,1.5,6,8.5,0,800,7200
